Fighter_ID,Fighter_Name,Height,Reach,Stance,Weight_Class,Date_of_Birth,Country,Active_Status
1,Darion Abbey,6'2'',80'',orthodox,heavyweight,"February 25, 1993",USA,No
2,Donte Johnson,5'8'',74'',southpaw,middleweight,"January 25, 1999",USA,Yes
3,Sedriques Dumas,6'2'',79'',orthodox,middleweight,August 6. 1995,USA,Yes
4,Mansur-Abdul Malik,6'2'',80'',orthodox,middleweight,"October 7, 1997",USA,Yes
5,Israel Adesanya,6'4'',80'',switch,middleweight,"July 22, 1989",Nigeria,Yes
6,Rob Wilkinson,6'3'',80'',orthodox,middleweight,"February 22, 1992",Australia,No
7,Derek Brunson,6'1'',77'',southpaw,middleweight,"January 4, 1984",USA,No
8,Anderson Silva,6'2'',77'',southpaw,middleweight,"April 14, 1975",Brazil,No
9,Yoel Romero,6'0'',73'',southpaw,middleweight,"April 30, 1977",Cuba,No
10,Jesus Aguilar,5'4'',62'',orthodox,flyweight,"March 13, 1996",Mexico,Yes
11,Erisson Ferreira,5'6'',70'',orthodox,flyweight,"May 3, 1991",Brazil,No
12,Shannon Ross,5'6'',66'',switch,flyweight,"May 12, 1989",Australia,No
13,Mateus Mendonca,5'6'',71'',orthodox,flyweight,"January 17, 1999",Brazil,No
14,Agulali,5'9'',67'',switch,flyweight,"April 7, 2005",China,Yes
15,Mridul Saikia,5'7'',68'',orthodox,flyweight,"May 8, 1997",India,No
16,Namsari Batbayar,5'4'',68'',orthodox,flyweight,"December 29, 2000",Mongolia,Yes
17,Wataru Yamauchi,5'6'',68'',orthodox,flyweight,"June 22, 1999",Japan,No
18,Abdul-Kareem Al-Sewady,5'8'',69'',orthodox,lightweight,"April 10, 1995",Palestine,Yes
19,George Hardwick,5'10'',72'',orthodox,lightweight,"December 6, 1996",England,No
20,Alatengheili,5'5'',66'',orthodox,bantamweight,"December 14, 1991",China,Yes
21,Batgerel Danaa,5'7'',70'',orthodox,bantamweight,"July 4, 1989",Mongolia,No
22,Ryan Benoit,5'5'',68'',orthodox,bantamweight,August 25. 1989,USA,No
23,Casey Kenney,5'7'',68'',southpaw,bantamweight,"March 20, 1991",USA,No
24,Gustavo Lopez,5'5'',67'',orthodox,bantamweight,"June 27, 1989",USA,No
25,Kevin Croom,5'11'',73'',orthodox,bantamweight,"July 15, 1987",USA,No
26,Chad Anheliger,5'6'',64'',orthodox,bantamweight,"December 1, 1996",USA,No
27,Kleydson Rodrigues,5'5'',67'',orthodox,bantamweight,"October 22, 1995",Brazil,No
28,Amir Albazi,5'5'',68'',orthodox,flyweight,"October 27, 1993",Iraq,Yes
29,Malcolm Gordon,5'7'',71'',switch,flyweight,"May 19, 1990",Canada,No
30,Zhalgas Zhumagulov,5'4'',70'',switch,flyweight,"August 29, 1988",Kazakhstan,No
31,Francisco Figueiredo,5'6'',68'',southpaw,flyweight,"October 23, 1989",Brazil,No
32,Kai Kara-France,5'4'',69'',orthodox,flyweight,"March 26, 1993",New Zealand,No
33,Irene Aldana,5'9'',68'',orthodox,women's bantamweight,"March 26, 1988",Mexico,Yes
34,Leslie Smith,5'9'',66'',orthodox,women's bantamweight,"August 17, 1982",USA,No
35,Talita Bernardo,5'4'',68'',orthodox,women's bantamweight,"March 4, 1987",Brazil,No
36,Lucie Pudilova,5'8'',67'',orthodox,women's flyweight,"June 13, 1994",Czechia,No
37,Bethe Correira,5'5'',64'',orthodox,women's bantamweight,"June 22, 1983",Brazil,No
38,Vanessa Melo,5'5'',65'',orthodox,women's bantamweight,"March 27, 1988",Brazil,No
39,JJ Aldrich,5'5'',67'',southpaw,women's flyweight,"September 29, 1992",USA,Yes
40,Juliana Lima,5'5'',65'',orthodox,women's strawweight,"March 15, 1982",Brazil,No
41,Chan-Mi Jeon,5'9'',N/A,orthodox,women's strawweight,"August 28, 1997",South Korea,No
42,Danielle Taylor,5'0'',60'',orthodox,women's strawweight,"October 25, 1989",USA,No
43,Lauren Mueller,5'5'',67'',orthodox,women's flyweight,"November 15, 1991",USA,No
44,Sabina Mazo,5'7'',70'',orthodox,women's flyweight,"March 25, 1997",Colombia,No
45,Cortney Casey,5'7'',67'',orthodox,women's flyweight,"May 5, 1997",USA,No
46,Ariane da Silva,5'6'',67'',orthodox,women's flyweight,"January 26, 1994",Brazil,No
47,Liang Na,5'5'',67'',orthodox,women's flyweight,"July 27, 1996",China,No
48,Montana De La Rosa,5'7'',68'',orthodox,women's flyweight,"February 14, 1995",USA,No
49,Andrea Lee,5'6'',69'',orthodox,women's flyweight,"February 11, 1989",USA,No
50,Talita Alencar,5'1'',58'',orthodox,women's strawweight,"October 17, 1990",Brazil,Yes
51,Nurullo Aliev,5'10'',72'',orthodox,lightweight,"December 8, 2000",Tajikistan,Yes
52,Josh Wick,5'9'',69'',switch,lightweight,"October 4, 1994",USA,No
53,Rafael Alves,5'8'',68'',orthodox,lightweight,"November 14, 1990",Brazil,No
54,Joe Solecki,5'9'',70'',orthodox,lightweight,"August 27, 1993",USA,No
55,Ikram Aliskerov,6'0'',76'',orthodox,middleweight,"December 7, 1992",Russia,Yes
56,Mario Sousa,6'3'',79'',orthodox,middleweight,"October 20, 1995",Brazil,No
57,Phil Hawes,6'0'',77'',orthodox,middleweight,"January 8, 1989",USA,No
58,Warlley Alves,5'11'',72'',orthodox,middleweight,"January 4, 1991",Brazil,No
59,Brendan Allen,6'2'',75'',orthodox,middleweight,"December 28, 1995",Canada,Yes
60,Aaron Jeffrey,6'2'',73'',orthodox,middleweight,"November 14, 1991",Canada,No
61,Tom Breese,6'3'',73'',southpaw,middleweight,"September 26, 1991",England,No
62,Karl Roberson,6'1'',74'',southpaw,light heavyweight,"October 4, 1990",USA,No
63,Sam Alvey,6'2'',75'',southpaw,middleweight,"May 6, 1986",USA,No
64,Krzysztof Jotko,6'1'',77'',southpaw,middleweight,"August 19, 1989",Poland,No
65,Andre Muniz,6'1'',78'',southpaw,middleweight,"February 17, 1990",Brazil,No
66,Bruno Silva,6'0'',74'',orthodox,middleweight,"July 3, 1989",Brazil,No
67,Paul Craig,6'3'',76'',orthodox,middleweight,"November 27, 1987",Scotland,No
68,Arnold Allen,5'8'',70'',southpaw,featherweight,"January 22, 1994",England,Yes
69,Alan Omer,5'10'',N/A,orthodox,featherweight,"September 14, 1988",Germany,No
70,Yaotzin Meza,5'9'',71'',orthodox,featherweight,"February 4, 1981",USA,No
71,Makwan Amirkhani,5'10'',72'',southpaw,featherweight,"November 8, 1988",Finland,No
72,Mads Burnell,5'8'',69'',orthodox,featherweight,"March 6, 1994",Denmark,No
73,Jordan Rinaldi,5'10'',72'',orthodox,featherweight,"September 25, 1987",USA,No
74,Gilbert Melendez,5'9'',73'',orthodox,featherweight,"April 12, 1982",USA,No
75,Nick Lentz,5'8'',68'',orthodox,featherweight,"August 13, 1984",USA,No
76,Asu Almabayev,5'4'',65'',orthodox,flyweight,"January 25, 1994",Kazakhstan,Yes
77,CJ Vergara,5'6'',68'',orthodox,flyweight,"June 18, 1991",USA,No
78,Jose Johnson,6'0'',71'',orthodox,flyweight,"May 20, 1995",USA,No
79,Matheus Nicolau,5'6'',66'',orthodox,flyweight,"January 6, 1993",Brazil,No
80,Bekzat Almakhan,5'7'',68'',orthodox,bantamweight,"October 8, 1997",Kazakhstan,Yes
81,Brad Katona,5'6'',64'',orthodox,bantamweight,"December 19, 1991",Canada,No
82,Jailton Almeida,6'3'',79'',orthodox,heavyweight,"June 26, 1991",Brazil,No
83,Nasrudin Nasrudinov,6'0'',71'',orthodox,light heavyweight,"October 6, 1991",Russia,No
84,Danilo Marques,6'6'',77'',orthodox,light heavyweight,"December 26, 1985",Brazil,No
85,Parker Porter,6'0'',75'',orthodox,heavyweight,"April 22, 1985",USA,No
86,Anton Turkalj,6'4'',78'',orthodox,light heavyweight,"June 10, 1996",Sweden,No
87,Shamil Abdurakhimov,6'3'',76'',orthodox,heavyweight,"September 2, 1981",Russia,No
88,Jairzinho Rozenstruik,6'2'',78'',orthodox,heavyweight,"March 17, 1998",Suriname,No
89,Alexandr Romanov,6'2'',75'',southpaw,heavyweight,"December 11, 1990",Moldova,No
90,Lucas Almeida,5'11'',71'',orthodox,featherweight,"January 31, 1991",Brazil,No
91,Michael Trizano,5'11'',71'',orthodox,featherweight,"December 31, 1991",USA,No
92,Cesar Almeida,6'1'',74'',orthodox,middleweight,"March 28, 1988",Brazil,Yes
93,Lucas Fernando,6'3'',80'',orthodox,middleweight,"January 10, 1997",Brazil,No
94,Dylan Budka,6'0'',75'',switch,middleweight,"January 14, 2000",USA,No
95,Ihor Potieria,6'3'',75'',southpaw,middleweight,"May 29, 1996",Ukraine,No
96,Abdul Razak-Alhassan,5'10'',73'',orthodox,middleweight,"August 11, 1985",Ghana,No
97,Joel Alvarez,6'3'',77'',orthodox,welterweight,"March 2, 1993",Spain,Yes
98,Damir Ismagulov,5'10'',74'',orthodox,lightweight,"February 3, 1991",Kazakhstan,No
99,Danilo Belluardo,6'0'',74'',southpaw,lightweight,"July 21, 1994",Italy,No
100,Joe Duffy,5'10'',73'',orthodox,lightweight,"February 18, 1988",Ireland,No
101,Alexander Yakovlev,6'3'',74'',southpaw,lightweight,"July 18, 1984",Russia,No
102,Marc Diakiese,5'10'',73'',orthodox,lightweight,"March 16, 1993",Democratic Republic of Congo,No
103,Christopher Alvidrez,6'0'',74'',orthodox,welterweight,"December 27, 1996",USA,Yes
104,Eliezer Kubanza,5'9'',74'',orthodox,welterweight,"December 23, 1997",Democratic Republic of Congo,No
105,Mahamed Aly,6'2'',78'',orthodox,light heavyweight,"January 11, 1994",Brazil,No
106,Hyder Amil,5'9'',70'',switch,featherweight,"May 28, 1990",The Philippines,Yes
107,Emrah Sonmez,5'10'',71'',orthodox,featherweight,"June 26, 1992",USA,No
108,Fernie Garcia,5'7'',67'',orthodox,featherweight,"April 12, 1992",USA,No
109,Jaqueline Amorim,5'3'',68'',orthodox,women's strawweight,"June 24, 1995",Brazil,Yes
110,Montserrat Conejo Ruiz,5'0'',61'',southpaw,women's strawweight,"February 3, 1993",Mexico,Yes
111,Cory McKenna,5'3'',58'',orthodox,women's strawweight,"July 11, 1999",Wales,No
112,Yaroslav Amosov,6'0'',75'',orthodox,welterweight,"September 9, 1993",Ukraine,Yes
113,Eryk Anders,6'1'',75'',southpaw,middleweight,"April 21, 1987",USA,Yes
114,Rafael Natal,6'0'',77'',orthodox,middleweight,"December 25, 1982",Brazil,No
115,Markus Perez,6'1'',73'',orthodox,middleweight,"June 22, 1988",Brazil,No
116,Lyoto Machida,6'1'',74'',southpaw,middleweight,"May 30, 1978",Brazil,No
117,Tim Williams,6'2'',76'',orthodox,middleweight,"July 3, 1986",USA,No
118,Thiago Santos,6'2'',76'',orthodox,light heavyweight,"January 7, 1984",Brazil,No
119,Elias Theodorou,6'1'',75'',orthodox,middleweight,"May 31, 1988",Canada,No
120,Vinicius Moreira,6'4'',76'',orthodox,light heavyweight,"February 28, 1989",Brazil,No
121,Darren Stewart,6'0'',74'',orthodox,light heavyweight,"December 30, 1990",England,No
122,Jamie Pickett,6'2'',80'',orthodox,middleweight,"August 29, 1988",USA,No
123,Chris Weidman,6'2'',78'',orthodox,middleweight,"June 17, 1984",USA,No
124,Tatsuya Ando,5'4'',68'',southpaw,featherweight,"April 26, 1990",Japan,No
125,Jessica Andrade,5'1'',62'',orthodox,women's strawweight,"September 25, 1991",Brazil,Yes
126,Liz Carmouche,5'6'',66'',orthodox,women's flyweight,"February 19, 1984",USA,No
127,Rosi Sexton,5'3'',N/A,orthodox,women's bantamweight,"July 16, 1977",England,No
128,Larissa Pachecho,5'7'',N/A,orthodox,women's bantamweight,"September 7, 1994",Brazil,No
129,Marion Reneau,5'6'',68'',orthodox,women's bantamweight,"June 20, 1977",Belize,No
130,Sarah Moras,5'7'',67'',orthodox,women's bantamweight,"April 30, 1988",Canada,No
131,Jessica Penne,5'5'',67'',orthodox,women's strawweight,"January 30, 1983",Brazil,No
132,Joanne Wood,5'6'',65'',orthodox,women's flyweight,"December 23, 1985",Scotland,No
133,Joanna Jedrzejczyk,5'6'',65'',orthodox,women's strawweight,"August 18, 1987",Poland,No
134,Claudia Gadelha,5'4'',63'',orthodox,women's strawweight,"December 7, 1988",Brazil,No
135,Cynthia Calvillo,5'4'',64'',orthodox,women's strawweight,"July 13, 1987",USA,No
136,Lauren Murphy,5'5'',67'',orthodox,women's flyweight,"July 27, 1983",USA,No
137,Magomed Ankalaev,6'3'',75'',orthodox,light heavyweight,"June 2, 1992",Russia,Yes
138,Jesse Strader,5'7'',70'',orthodox,bantamweight,"May 29, 1992",USA,No
139,Charalampos Grigoriou,5'7'',67'',orthodox,bantamweight,"March 31, 1992",Cyprus,No
140,Klidson Abreu,6'0'',74'',orthodox,light heavyweight,"December 24, 1992",USA,No
141,Dalcha Lungiambula,5'8'',76'',orthodox,middleweight,"July 31, 1987",Democratic Republic of Congo,No
142,Jin Aoi,5'6'',68'',orthodox,featherweight,"January 21, 1997",Japan,No
143,Aoriqileng,5'7'',69'',orthodox,bantamweight,"June 25, 1993",China,Yes
144,Jeff Molina,5'6'',69'',orthodox,flyweight,"July 17, 1997",USA,No
145,Cameron Else,5'9'',71'',switch,bantamweight,"April 27, 1987",England,No
146,Jay Perrin,5'7'',67'',switch,bantamweight,"June 15, 1993",USA,No
147,Johnny Munoz,5'9'',71'',orthodox,bantamweight,"February 16, 1993",USA,No
148,Alice Ardelean,5'3'',62'',orthodox,women's strawweight,"April 19, 1992",Romania,Yes
149,Melissa Martinez,5'2'',66'',southpaw,women's strawweight,"August 18, 1997",Mexico,No
150,Garrett Armfield,5'6'',70'',orthodox,bantamweight,"October 9, 1996",USA,Yes
151,Kai Asakura,5'8'',69'',orthodox,flyweight,"October 31, 1993",Japan,Yes
152,Ibo Aslan,6'3'',77'',orthodox,light heavyweight,"April 23, 1996",Turkey,Yes
153,Rafael Cerqueira,6'3'',76'',southpaw,light heavyweight,"March 15, 1990",Brazil,No
154,Paulo Renato Junior,6'0'',73'',orthodox,light heavyweight,"January 25, 1994",Brazil,No
155,Tom Aspinall,6'5'',78'',orthodox,heavyweight,"April 11, 1993",England,Yes
156,Jake Collier,6'3'',78'',orthodox,heavyweight,"October 25, 1988",USA,No
157,Alan Baudot,6'3'',79'',orthodox,heavyweight,"February 1, 1988",France,No
158,Andrei Arlovski,6'3'',77'',orthodox,heavyweight,"February 04, 1979",Belarus,No
159,Steven Asplund,6'5'',78'',orthodox,heavyweight,"July 16, 1998",USA,Yes
160,Anthony Guarascio,6'2'',72'',orthodox,heavyweight,"February 26, 1994",USA,No
161,Michael Aswell Jr.,5'8'',69'',orthodox,featherweight,"September 27, 2000",USA,Yes
162,Ottman Azaitar,5'8'',71'',switch,lightweight,"February 20, 1990",Morocco,Yes
163,Teemu Packalen,6'1'',75'',orthodox,lightweight,"May 22, 1987",Finland,No
164,Khama Worthy,5'11'',74'',orthodox,lightweight,"October 15, 1986",USA,No
165,Melsik Baghdasaryan,5'9'',70'',southpaw,featherweight,"January 28, 1992",Armenia,Yes
166,Collin Anglin,5'9'',71'',orthodox,featherweight,"February 20, 1993",USA,No
167,Bruno Souza,5'10'',70'',orthodox,featherweight,"March 7, 1996",Brazil,No
168,Tucker Lutz,5'8'',72'',orthodox,featherweight,"July 12, 1994",USA,No
169,Ignacio Bahamondes,6'3'',75'',orthodox,lightweight,"August 27, 1997",Chile,Yes
170,Edson Gomez,5'8'',69'',switch,welterweight,"February 23, 1991",Brazil,No
171,John Makdessi,5'8'',68'',orthodox,lightweight,"May 3, 1985",Canada,No
172,Roosevelt Roberts,6'2'',73'',orthodox,lightweight,"February 11, 1994",USA,No
173,Christos Giagos,5'10'',71'',orthodox,lightweight,"January 23, 1990",Brazil,No
174,Shauna Bannon,5'5'',65'',switch,women's strawweight,"October 23, 1993",Ireland,Yes
175,Iwo Baraniewski,6'0'',73'',orthodox,light heavyweight,"November 20, 1998",Poland,Yes
176,Maycee Barber,5'5'',65'',switch,women's flyweight,"May 18, 1998",USA,Yes
177,Jamie Colleen,5'3'',65'',orthodox,women's strawweight,"November 2, 1985",USA,No
178,Hannah Cifers,5'1'',62'',orthodox,women's strawweight,"July 26, 1992",USA,No
179,Roxanne Modafferi,5'7'',69'',orthodox,women's flyweight,"September 24, 1982",USA,No
180,Jessica Eye,5'6'',66'',orthodox,women's flyweight,"July 27, 1986",USA,No
181,Djani Barbir,6'3'',79'',orthodox,middleweight,"August 9, 1997",Croatia,No
182,Dione Barbosa,5'6'',66'',orthodox,women's flyweight,"May 8, 1992",Brazil,Yes
183,Rainn Gurrero,5'6'',65'',orthodox,women's flyweight,"May 13, 1992",USA,No
184,Ernesta Kareckaite,5'9'',71'',orthodox,women's flyweight,"July 5, 1998",Lithuania,Yes
185,Diana Belbita,5'7'',68'',orthodox,women's flyweight,"June 26, 1996",Romania,No
186,Marcio Barbosa,5'6'',70'',orthodox,featherweight,"May 22, 1998",Brazil,Yes
187,Damon Wilson,5'9'',69'',switch,featherweight,"April 29, 1993",USA,No
188,Edson Barboza,5'11'',75'',orthodox,lightweight,"January 21, 1986",Brazil,Yes
189,Mike Lullo,5'8'',N/A,orthodox,featherweight,"July 24, 1979",USA,No
190,Anthony Njokuani,6'1'',75'',orthodox,lightweight,"March 1, 1980",USA,No
191,Ross Pearson,5'8'',69'',orthodox,lightweight,"September 26, 1984",England,No
192,Jamie Varner,5'8'',71'',orthodox,lightweight,"October 12, 1984",USA,No
193,Terry Etim,6'1'',73'',orthodox,lightweight,"January 11, 1986",England,No
194,Lucas Martins,6'0'',72'',southpaw,featherweight,"November 11, 1988",Brazil,No
195,Rafaello Oliveira,5'8'',71'',orthodox,lightweight,"January 26, 1982",Brazil,No
196,Danny Castillo,5'9'',71'',orthodox,lightweight,"August 25, 1979",USA,No
197,Donald Cerrone,6'1'',73'',orthodox,lightweight,"March 29, 1983",USA,No
198,Evan Dunham,5'10'',70'',southpaw,lightweight,"December 18, 1981",USA,No
199,Paul Felder,5'11'',70'',orthodox,lightweight,"April 25, 1984",USA,No
200,Tony Ferguson,5'11'',76'',orthodox,lightweight,"February 12, 1984",USA,No
201,Anthony Pettis,5'10'',72'',orthodox,lightweight,"January 27, 1987",USA,No
202,Khabib Nurmagomedov,5'10'',70'',orthodox,lightweight,"September 20, 1988",Russia,No
203,Kevin Lee,5'9'',77'',orthodox,welterweight,"September 4, 1992",USA,No
204,Shane Burgos,5'11'',75'',orthodox,featherweight,"March 19, 1991",USA,No
205,Raoni Barcelos,5'7'',67'',orthodox,bantamweight,"May 1, 1997",Brazil,No
206,Kurt Holobaugh,5'11'',70'',orthodox,lightweight,"September 8, 1986",USA,No
207,Carlos Huachin,5'4'',67'',southpaw,bantamweight,"June 4, 1986",Peru,No
208,Khalid Taha,5'5'',69'',orthodox,bantamweight,"February 15, 1992",Germany,No
209,Timur Valiev,5'6'',67'',orthodox,bantamweight,"January 19, 1990",Russia,No
210,Trevin Jones,5'7'',70'',southpaw,bantamweight,"August 4, 1990",Guam,No
211,Daniel Barez,5'6'',66'',orthodox,flyweight,"December 10, 1988",Spain,Yes
212,Carlos Hernandez,5'8'',67'',orthodox,flyweight,"October 25, 1993",Mexico,No
213,Victor Altamirano,5'8'',70'',switch,flyweight,"January 23, 1991",USA,No
214,Marc-Andre Barriault,6'1'',74'',orthodox,middleweight,"February 18, 1990",Canada,Yes
215,Andrew Sanchez,6'1'',74'',orthodox,middleweight,"August 8, 1988",USA,No
216,Oskar Picheota,6'0'',76'',southpaw,middleweight,"January 24, 1990",Poland,No
217,Abu Azaitar,5'9'',76'',orthodox,middleweight,"March 10, 1986",Morocco,No
218,Jordan Wright,6'2'',77'',orthodox,light heavyweight,"October 7, 1991",USA,No
219,Julian Marquez,6'2'',72'',orthodox,middleweight,"May 8, 1990",USA,No
220,Javid Basharat,5'9'',69'',orthodox,bantamweight,"September 7, 1995",Afghanistan,No
221,Oron Kahlon,5'8'',70'',orthodox,bantamweight,"Novemer 4, 1984",Dumpster,No
222,Tony Gravely,5'5'',69'',orthodox,bantamweight,"September 28, 1991",USA,No
223,Farid Basharat,5'8'',71'',orthodox,bantamweight,"August 2, 1997",Afghanistan,Yes
224,Allan Begosso,5'5'',66'',orthodox,bantamweight,"November 23, 1995",USA,No
225,Taylor Lapilus,5'6'',73'',southpaw,bantamweight,"April 8, 1992",France,No
226,Victor Hugo,5'7'',71'',orthodox,bantamweight,"November 22, 1992",Brazil,No
227,Austin Bashi,5'6'',70'',orthodox,featherweight,"September 29, 2001",USA,Yes
228,Dorian Ramos,5'8'',70'',orthodox,featherweight,"December 31, 1993",USA,No
229,Bahatebole Batebolati,5'8'',71'',southpaw,welterweight,"September 12, 1992",China,Yes
230,WonBon Ki,5'11'',73'',orthodox,lightweight,"February 11, 1991",South Korea,Yes
231,Han Seul Kim,6'1'',73'',southpaw,welterweight,"June 19, 1990",South Korea,No
232,Mario Bautista,5'9'',69'',switch,bantamweight,"July 1, 1993",USA,Yes
233,Jin Soo Son,5'6'',69'',orthodox,bantamweight,"April 1, 1993",South Korea,No
234,Brian Kelleher,5'6'',66'',switch,bantamweight,"August 19, 1986",USA,No
235,Benito Lopez,5'10'',73'',switch,bantamweight,"April 5, 1994",USA,No
236,Guido Cannetti,5'6'',68'',southpaw,bantamweight,"December 19, 1979",Argentina,No
237,Jack Becker,5'10'',71'',orthodox,lightweight,"December 20, 1992",Australia,No
238,Azamat Bekoev,6'0'',72'',orthodox,middleweight,"December 30, 1995",Russia,Yes
239,Yousri Belgaroui,6'6'',79'',orthodox,middleweight,"June 2, 1992",The Netherlands,Yes
240,Taiga Iwasaki,6'1'',73'',orthodox,middleweight,"July 7, 1997",Japan,No
241,Rodolfo Bellato,6'3'',75'',orthodox,light heavyweight,"February 5, 1996",Brazil,Yes
242,Murtaza Talha,6'0'',74'',orthodox,light heavyweight,"July 10, 1996",Bahrain,No
243,Xie Bin,5'10'',72'',orthodox,lightweight,"February 28, 1998",China,Yes
244,Oliver Murad,5'10'',72'',southpaw,featherweight,"December 21, 1993",Haiti,No
245,Yibugele,5'7'',69'',southpaw,featherweight,"November 13, 1989",China,No
246,Masuto Kawana,5'6'',69'',orthodox,featherweight,"January 20, 1995",Japan,No
247,Zhu Kangjie,5'8'',70'',orthodox,featherweight,"January 16, 1986",China,Yes
248,Angad Bisht,5'7'',67'',orthodox,flyweight,"June 5, 1995",India,No
249,John Dave Almanza,5'7'',67'',southpaw,flyweight,"March 22, 2004",The Philippines,No
250,Jan Blachowicz,6'2'',78'',orthodox,light heavyweight,"February 24, 1983",Poland,Yes
251,Ilir Latifi,5'10'',73'',orthodox,heavyweight,"July 28, 1982",Sweden,No
252,Jimi Manuwa,6'1'',79'',orthodox,light heavyweight,"February 18, 1980",England,No
253,Corey Anderson,6'3'',79'',orthodox,light heavyweight,"September 22, 1989",USA,No
254,Igor Pokrajac,6'0'',74'',orthodox,light heavyweight,"January 2, 1979",Croatia,No
255,Alexander Gustafsson,6'5'',79'',orthodox,light heavyweight,"January 15, 1987",Sweden,No
256,Patrick Cummins,6'2'',76'',orthodox,light heavyweight,"November 16, 1980",USA,No
257,Devin Clark,6'0'',75'',orthodox,light heavyweight,"April 12, 1980",USA,No
258,Luke Rockhold,6'3'',77'',southpaw,middleweight,"October 17, 1984",USA,No
259,Jacare Souza,6'1'',72'',orthodox,middleweight,"December 7, 1979",Brazil,No
260,Glover Teixeira,6'2'',76'',orthodox,light heavyweight,"October 28, 1979",Brazil,No
261,Da'Mon Blackshear,5'10'',72'',switch,bantamweight,"August 12, 1994",USA,Yes
262,Cody Stamann,5'6'',64'',orthodox,bantamweight,"November 9, 1989",USA,No
263,Chasen Blair,5'10'',71'',orthodox,lightweight,"October 14, 1998",USA,No
264,Erin Blanchfield,5'4'',66'',orthodox,women's flyweight,"May 4, 1999",USA,Yes
265,Sarah Alpar,5'4'',63'',southpaw,women's bantamweight,"June 1, 1991",USA,No
266,Molly McCann,5'4'',62'',orthodox,women's strawweight,"May 4, 1990",England,No
267,Taila Santos,5'6'',68'',orthodox,women's flyweight,"June 22, 1993",Brazil,No
268,Curtis Blaydes,6'4'',80'',orthodox,heavyweight,"February 18, 1991",USA,Yes
269,Francis Ngannou,6'4'',83'',orthodox,heavyweight,"September 5, 1986",Cameroon,No
270,Cody East,6'3'',N/A,orthodox,heavyweight,"June 29, 1988",USA,No
